[0.599518, 0.599518, 0.530241], 375.301212, white
[0.469242, 0.752073, 0.462814], 155.569920, green
[0.599116, 0.599116, 0.531149], 397.251809, white
[0.450264, 0.781708, 0.431503], 159.906223, green
[0.577350, 0.577350, 0.577350], 441.672956, white
[0.613112, 0.594533, 0.520216], 215.295146, white
[0.869836, 0.388868, 0.303590], 293.158660, orange
[0.724248, 0.620000, 0.301770], 182.258059, yellow
[0.936878, 0.249834, 0.244629], 192.127562, red
[0.908273, 0.295838, 0.295838], 192.673299, red
[0.924417, 0.275124, 0.264119], 181.736072, red
[0.629943, 0.585580, 0.510165], 225.417391, white
[0.905337, 0.344383, 0.248524], 281.662919, orange
[0.925034, 0.299276, 0.233979], 183.777039, orange
[0.419976, 0.820568, 0.387670], 154.770798, green
[0.914910, 0.330690, 0.231483], 181.438695, orange
[0.676343, 0.676343, 0.291756], 377.027850, yellow
[0.678252, 0.675414, 0.289463], 352.376219, yellow
[0.430258, 0.583922, 0.688413], 162.692962, blue
[0.606341, 0.596830, 0.525495], 420.555585, white
[0.682133, 0.669730, 0.293524], 241.888404, yellow
[0.306987, 0.562809, 0.767467], 156.358562, blue
[0.690652, 0.664258, 0.285939], 227.321358, yellow
[0.398503, 0.834958, 0.379526], 158.091746, green
[0.915678, 0.327424, 0.233082], 180.194340, orange
[0.932375, 0.304674, 0.194551], 272.422466, orange
[0.922426, 0.291292, 0.253532], 185.380689, red
[0.904676, 0.351227, 0.241247], 281.868764, orange
[0.618143, 0.590548, 0.518799], 181.187748, white
[0.387864, 0.545639, 0.742859], 152.115088, blue
[0.931468, 0.290399, 0.219169], 182.507534, orange
[0.405973, 0.830682, 0.380990], 160.109338, green
[0.442710, 0.796878, 0.411088], 158.117045, green
[0.673140, 0.673140, 0.306213], 378.821858, yellow
[0.687107, 0.671724, 0.276894], 195.020512, yellow
[0.909309, 0.341715, 0.237463], 172.658623, red
[0.516475, 0.522698, 0.678263], 160.704698, blue
[0.383562, 0.533086, 0.754122], 153.821325, blue
[0.413618, 0.647113, 0.640441], 149.896631, white
[0.396411, 0.812003, 0.428380], 156.403325, green
[0.407282, 0.565331, 0.717302], 164.505319, blue
[0.666376, 0.666376, 0.334495], 382.666957, yellow
[0.688000, 0.665256, 0.289983], 175.872113, yellow
[0.898524, 0.365207, 0.243471], 172.505072, red
[0.528274, 0.522131, 0.669556], 162.794349, blue
[0.371835, 0.528397, 0.763240], 153.293835, blue
[0.433341, 0.790210, 0.433341], 156.920362, green
[0.403314, 0.541953, 0.737309], 158.685223, blue
[0.921518, 0.305355, 0.239922], 183.393021, orange
[0.422384, 0.820282, 0.385655], 163.358501, green
[0.473418, 0.768536, 0.430380], 162.646857, green
[0.907284, 0.355798, 0.224152], 281.058713, orange
[0.906639, 0.316519, 0.278966], 186.402790, red
